id,titulo,qtd_exercicios,peso
59,Avaliação 01 - Variáveis e Estrutura Sequencial de Programação,2,1
61,Laboratório 2 - Estrutura Condicional,10,1
62,Avaliação 1 - Variáveis e Estrutura Sequencial,2,1
63,Avaliação 01 - Variáveis e Estrutura Sequencial,2,1
64,Avaliação 01 - Variáveis e Estrutura Sequencial,2,1
65,Sétimo Trabalho - 21/06/2016,1,1
66,Quarto Trabalho - 17/06/2016 (Java),2,1
67,Terceiro Trabalho - 10/06/2016 (C++),1,1
68,Quarto Trabalho - 17/06/2016 (C++),2,1
69,Laboratório de Codificação 02 – Estrutura de Programação Condicional Composta,7,1
70,Avaliação Prática 1 (AP 1),2,1
71,Laboratório de Codificação 02 – Estrutura de Programação Condicional Composta,7,1
72,Laboratório de Codificação 02 – Estrutura de Programação Condicional Composta,7,1
73,Laboratório de Codificação 02 – Estrutura de Programação Condicional Composta,7,1
74,Laboratório de Codificação 02 – Estrutura de Programação Condicional Composta,7,1
75,Laboratório de Codificação 02 – Estrutura de Programação Condicional Composta,7,1
76,Laboratório 2 – Estrutura de Programação Condicional Composta,7,1
77,Comandos básicos,3,1
78,IF ELSE,3,1
79,Switch-Case,3,1
80,Estruturas de Repetição - WHILE,3,1
81,Laboratório de Codificação 02 – Estrutura de Programação Condicional Composta,7,1
82,Lista de Exercícios - Revisão,5,1
83,Avaliação 01 - Variáveis e Estrutura Sequencial,2,1
84,Quarto Trabalho - 17/06/2016 (C/C++),1,1
85,Quarto Trabalho - 17/06/2016 (Java),1,1
86,Quinto Trabalho - 24/06/2016 (C/C++),1,1
87,Quinto Trabalho - 24/06/2016 (Java),1,1
88,Laboratório de Codificação 03 – Estrutura de Programação Condicional Encadeada,9,1
89,Avaliação Parcial 02 – Estrutura Condicional Composta (sem Aninhamento),2,1
90,Avaliação Parcial 02 – Estrutura Condicional Composta (sem Aninhamento),2,1
91,Teste - Não vale nota,1,1
92,Avaliação Parcial 02 – Estrutura Condicional Composta (sem Aninhamento),2,1
93,Avaliação Parcial 02 – Estrutura Condicional Composta (sem Aninhamento),2,1
94,Avaliação Parcial 02 – Estrutura Condicional Composta (sem Aninhamento),2,1
95,Avaliação Parcial 02 – Estrutura Condicional Composta (sem Aninhamento),2,1
96,Avaliação Parcial 02 – Estrutura Condicional Composta (sem Aninhamento),2,1
97,Avaliação Parcial 02 – Estrutura Condicional Composta (sem Aninhamento),2,1
98,Laboratório de Codificação 02 – Estrutura de Programação Condicional Composta,7,1
99,Avaliação Parcial 02 – Estrutura Condicional Composta (sem Aninhamento),2,1
100,Sexto Trabalho - 01/07/2016 (Java),1,1
101,Sexto Trabalho - 01/07/2016 (C/C++),1,1
102,Avaliação Parcial 03– Estrutura Condicional Encadeada (turmas de segunda),2,2
103,Laboratório de Codificação 03 – Estrutura de Programação Condicional Encadeada,9,1
104,Laboratório de Codificação 03 – Estrutura de Programação Condicional Encadeada,9,1
105,Laboratório de Codificação 03 – Estrutura de Programação Condicional Encadeada,9,1
106,Laboratório de Codificação 03 – Estrutura de Programação Condicional Encadeada,9,1
107,Laboratório de Codificação 03 – Estrutura de Programação Condicional Encadeada,9,1
108,Primeiro Treino do CodeBench,5,1
109,Laboratório de Codificação 03 – Estrutura de Programação Condicional Encadeada,9,1
110,Oitavo Trabalho - 05/07/2016,1,1
111,Laboratório de Codificação 03 – Estrutura de Programação Condicional Encadeada,9,1
112,Avaliação Parcial 02 – Estrutura Condicional Composta (sem Aninhamento),2,1
113,Nono Trabalho - 07/07/2016,1,1
114,Setimo Trabalho - 08/07/2016 (C/C++),1,1
115,Setimo Trabalho - 08/07/2016 (Java),1,1
116,Avaliação Parcial 03– Estrutura Condicional Encadeada,2,1
117,Laboratório de Codificação 04 – Estrutura de Programação de Repetição por Condição,11,1
118,Atividade PET & Monitoria,3,1
119,Avaliação Parcial 03– Estrutura Condicional Encadeada,2,2
120,Laboratório de Codificação 03 – Estrutura de Programação Condicional Encadeada,9,1
121,Avaliação Parcial 03– Estrutura Condicional Encadeada,2,2
122,Avaliação Parcial 03 – Estruturas Condicionais Encadeadas,2,2
123,Avaliação Parcial 03– Estrutura Condicional Encadeada,2,1
124,Avaliação Parcial 03– Estrutura Condicional Encadeada,2,1
125,Avaliação Parcial 03– Estrutura Condicional Encadeada,2,1
126,Avaliação Parcial 03 – Estruturas Condicionais Encadeadas,2,2
127,Avaliação Parcial 03 – Estruturas Condicionais Encadeadas,2,2
128,Avaliação Parcial 02 [Grupo 2] – Estrutura Condicional Composta (sem Aninhamento),2,1
129,Avaliação Parcial 03 – Estruturas Condicionais Encadeadas,2,2
130,Avaliação Parcial 03 – Estruturas Condicionais Encadeadas,2,2
131,Laboratório de Codificação 04 – Estrutura de Programação de Repetição por Condição,11,1
132,Avaliação Parcial 04 – Estrutura de Repetição por Condição (while),2,2
133,Laboratório de Codificação 04 – Estrutura de Programação de Repetição por Condição,11,1
134,Laboratório de Codificação 04 – Estrutura de Programação de Repetição por Condição,11,1
135,Laboratório de Codificação 04 – Estrutura de Programação de Repetição por Condição,11,1
136,Laboratório de Codificação 04 – Estrutura de Programação de Repetição por Condição,11,1
137,Laboratório de Codificação 04 – Estrutura de Programação de Repetição por Condição,11,1
138,Décimo Trabalho - 19/07/2016,1,1
139,Décimo Primeiro Trabalho - 20/07/2016,1,1
140,Avaliação Parcial 03 – Estruturas Condicionais Encadeadas,2,2
141,Laboratório de Codificação 04 – Estrutura de Programação de Repetição por Condição,11,1
142,Primeiros Passos em Python,4,1
143,Décimo Segundo Trabalho - 26/07/2016,1,1
144,Laboratório de Codificação 04 – Estrutura de Programação de Repetição por Condição,11,1
145,Avaliação Parcial 04 – Estrutura de Repetição por Condição (while),2,2
146,Primeiros Passos em Python,4,1
147,Avaliação Parcial 04 – Estrutura de Repetição por Condição (while),2,2
148,Avaliação Parcial 04 – Estrutura de Repetição por Condição (while),2,2
149,Avaliação Parcial 04 – Estrutura de Repetição por Condição (while),2,2
150,Avaliação Parcial 04 – Estrutura de Repetição por Condição (while),2,2
151,Avaliação Parcial 04 – Estrutura de Repetição por Condição (while),2,2
152,Avaliação Parcial 04 – Estrutura de Repetição por Condição (while),2,2
153,Décimo Terceiro Trabalho - 28/07/2016 (ABB enxerto e poda),1,1
154,Laboratório de Codificação 05 – Vetores e Strings,11,1
155,Laboratório de Codificação 05 – Vetores e Strings,11,1
156,Laboratório de Codificação 05 – Vetores e Strings,11,1
157,Laboratório de Codificação 05 – Vetores e Strings,11,1
158,Laboratório de Codificação 05 – Vetores e Strings,11,1
159,Décimo Quarto Trabalho - 02/08/2016,1,1
160,Laboratório de Codificação 05 – Vetores e Strings,11,1
161,Laboratório de Codificação 05 – Vetores e Strings,11,1
162,Laboratório de Codificação 05 – Vetores e Strings,11,1
163,Laboratório de Codificação 05 – Vetores e Strings,11,1
164,Avaliação Parcial 04 – Estrutura de Repetição por Condição (while) - Versão Olímpica :D,6,1
165,Avaliação Parcial 04 – Estrutura de Repetição por Condição (while) - Versão Olímpica :D,4,2
166,Décimo Primeiro Trabalho - 05/08/2016 (redes de Petri) - C/C++,1,1
167,Décimo Primeiro Trabalho - 05/08/2016 (redes de Petri) - Java,1,1
168,Avaliação Parcial 05 – Vetores e Strings,2,3
169,Avaliação Parcial 05 – Vetores e Strings,2,3
170,Avaliação Parcial 05 – Vetores e Strings,2,3
171,Avaliação Parcial 05 – Vetores e Strings,2,3
172,Décimo Quinto Trabalho - 11/08/2016,1,1
173,Avaliação Parcial 05 – Vetores e Strings,2,3
174,Avaliação Parcial 05 – Vetores e Strings,2,3
175,Avaliação Parcial 05 – Vetores e Strings,2,3
176,Avaliação Parcial 05 – Vetores e Strings,2,3
177,Laboratório de Codificação 05 – Vetores e Strings,11,1
178,Décimo Sexto Trabalho - 16/08/2016,2,1
179,Laboratório de Codificação 06 – Estrutura de Programação de Repetição por Contagem,10,1
180,Laboratório de Codificação 06 – Estrutura de Programação de Repetição por Contagem,10,1
181,Laboratório de Codificação 06 – Estrutura de Programação de Repetição por Contagem,10,1
182,Trabalho Prático de FTC - Testes,6,1
183,Laboratório de Codificação 06 – Estrutura de Programação de Repetição por Contagem,10,1
184,Laboratório de Codificação 06 – Estrutura de Programação de Repetição por Contagem,10,1
185,Laboratório de Codificação 06 – Estrutura de Programação de Repetição por Contagem,10,1
186,Décimo Sétimo Trabalho - 18/08/2016,3,1
187,Laboratório de Codificação 06 – Estrutura de Programação de Repetição por Contagem,10,1
188,Décimo Oitavo Trabalho - 23/08/2016 (Busca em Árvore B+),1,1
189,Laboratório de Codificação 06 – Estrutura de Programação de Repetição por Contagem,10,1
190,Avaliação Parcial 06 – Repetição por contagem,2,3
191,Avaliação Parcial 05 – Vetores e Strings,2,3
192,Laboratório de Codificação 06 – Estrutura de Programação de Repetição por Contagem,10,1
193,Avaliação Parcial 06 – Repetição por contagem,2,3
194,Laboratório de Codificação 07 – Matrizes,10,1
195,Avaliação Parcial 06 – Repetição por contagem,2,3
196,Avaliação Parcial 06 – Repetição por contagem,2,3
197,Avaliação Parcial 06 – Repetição por contagem,2,3
198,Décimo Nono Trabalho - 25/08/2016 (Eliminação em Árvores B+),1,1
199,Avaliação Parcial 06 – Repetição por contagem,2,3
200,Avaliação Parcial 06 – Repetição por contagem,2,3
201,Avaliação Parcial 06 – Repetição por contagem,2,3
202,Prova Prática de IP,4,1
203,Laboratório de Codificação 07 – Matrizes,2,1
204,Laboratório de Codificação 07 – Matrizes,2,1
205,Laboratório de Codificação 07 – Matrizes,10,1
206,Laboratório de Codificação 07 – Matrizes,10,1
207,Laboratório de Codificação 07 – Matrizes,10,1
208,Laboratório de Codificação 07 – Matrizes,10,1
209,Laboratório de Codificação 07 – Matrizes,10,1
210,Laboratório de Codificação 07 – Matrizes,10,1
211,Laboratório de Codificação 07 – Matrizes,10,1
212,Avaliação Parcial 06 – Repetição por contagem,2,3
213,Laboratório de Codificação 07 – Matrizes,10,1
214,Avaliação Parcial 07 – Matrizes,2,3
216,Avaliação Parcial 07 – Matrizes,2,3
217,Avaliação Parcial 07 – Matrizes,2,3
218,Avaliação Parcial 07 – Matrizes,2,3
219,Avaliação Parcial 07 – Matrizes,2,3
220,Avaliação Parcial 07 – Matrizes,2,3
221,Trabalho Prático de FTC,7,1
222,Avaliação Parcial 07 – Matrizes,2,3
223,Avaliação Parcial 07 – Matrizes,2,3
224,Avaliação Parcial 07 – Matrizes,2,3
225,Comandos básicos,3,1
226,IF ELSE,8,1
227,IF-ELSE,8,1
228,Introdução a disciplina,3,1
229,Primeiro Trabalho - 13/10/2016,5,1
230,Segundo Trabalho - 18/10/2016,5,1
231,Laboratório 0 – Primeiros passos com o Python,7,1
232,Laboratório 0 – Primeiros passos com o Python,7,1
234,Laboratório de Codificação 0 – Primeiros passos com o Python,14,1
235,Primeiros Passos em Python,4,1
236,Tutorial Como usar o codebench,1,1
237,Laboratório 0 – Primeiros passos com o Python,7,1
238,Primeira Prova,1,1
239,Laboratório 0 – Primeiros passos com o Python,7,1
240,Terceiro Trabalho - 20/10/2016,4,1
241,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
242,Laboratório 0 – Primeiros passos com o Python,12,1
243,Laboratório 0 – Primeiros passos com o Python,12,1
244,Estruturas de Controle e Repetição,8,1
245,Aprendendo C,7,1
246,Laboratório 0 – Primeiros passos com o Python,12,1
247,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
248,Laboratório de Codificação 01 – Variáveis e Estrutura Sequencial de Programação,12,1
249,Quarto Trabalho - 25/10/2016,10,1
250,Quinto Trabalho - 27/10/2016,4,1
251,Laboratório 0 – Primeiros passos com o Python,12,1
252,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
253,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
255,BANCO 1 - Variáveis, Operadores Aritméticos e Estrutura de Programação Sequencial,38,1
256,BANCO 2 - Estrutura de Programação Condicional (if-else sem aninhamento),23,1
257,BANCO 3 - Estrutura de Programação Condicional de Múltipla Escolha (if - elif - else) e Aninhadas,25,1
260,BANCO 6 - Estrutura de Programação de Repetição por Condição (laços for),7,1
262,Sexto Trabalho - 01/11/2016,4,1
263,Sétimo Trabalho - 03/11/2016,5,1
264,Oitavo Trabalho - 08/11/2016,4,1
265,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
268,Nono Trabalho - 10/11/2016,2,1
269,Trabalho Prático 01: Variáveis e Estrutura Sequencial de Programação,3,1
270,Trabalho Prático 1: Variáveis e Estrutura Sequencial de Programação,3,1
271,Trabalho Prático 1: Variáveis e Estrutura Sequencial de Programação,3,1
272,Trabalho Prático 1: Variáveis e Estrutura Sequencial de Programação,3,1
273,Lista 1 - Condição e Repetição,8,1
274,Trabalho Prático 1: Variáveis e Estrutura Sequencial de Programação,3,1
275,Laboratório de Codificação 02 – Estrutura de Programação Condicional,9,1
276,Laboratório de Codificação 02 – Estrutura de Programação Condicional Composta,9,1
277,Trabalho Prático 1: Variáveis e Estrutura Sequencial de Programação,2,1
278,Décimo Trabalho - 17/11/2016 ,4,1
279,Trabalho Prático 1: Variáveis e Estrutura Sequencial de Programação,2,1
280,Trabalho Prático 1: Variáveis e Estrutura Sequencial de Programação,2,1
281,Trabalho Prático 02 - Estrutura Condicional Simples e Composta (sem aninhamento),3,1
282,Laboratório de Codificação 02 – Estrutura de Programação Condicional Composta,9,1
283,Laboratório de Codificação 02 – Estrutura de Programação Condicional Composta,9,1
284,Décimo Primeiro Trabalho - 22/11/2016,5,1
285,Décimo Segundo Trabalho - 24/11/2016,4,1
286,Laboratório de Codificação 02 – Estrutura de Programação Condicional Composta,7,1
287,Lista 2 - Vetores,7,1
288,Introdução ao SQL,1,1
289,Laboratório de Codificação 03 – Estrutura de Programação Condicional Encadeada,9,1
290,Introdução ao SQL,10,1
291,Trabalho Prático 02 - Estrutura Condicional Simples e Composta (sem aninhamento),3,1
292,Trabalho Prático 02 - Estrutura Condicional Simples e Composta (sem aninhamento),3,1
293,Laboratório de Codificação 03 – Estrutura de Programação Condicional Encadeada,9,1
294,Trabalho Prático 02 - Estrutura Condicional Simples e Composta (sem aninhamento),2,1
295,Trabalho Prático 02 - Estrutura Condicional Simples e Composta (sem aninhamento),2,1
296,Exercícios de SQL envolvendo Joins,5,1
297,Revisão para a primeira avaliação,5,1
298,Décimo Terceiro Trabalho - 29/11/2016,4,1
299,Décimo Quarto Trabalho - 01/12/2016,2,1
300,Laboratório de Codificação 03 – Estrutura de Programação Condicional Encadeada,9,1
301,Laboratório de Codificação 03 – Estrutura de Programação Condicional Encadeada,9,1
302,Laboratório de Codificação 03 – Estrutura de Programação Condicional Encadeada,9,1
303,Funções e Procedimentos,5,1
304,Décimo Quinto Trabalho - 06/12/2016,2,1
305,Exercícios sobre Subqueries,3,1
307,Trabalho Prático 03 - Estrutura Condicional Encadeada,3,2
308,Décimo Sexto Trabalho - 13/12/2016,5,1
309,Décimo Sétimo Trabalho - 15/12/2016,5,1
310,Laboratório de Codificação 04 – Estrutura de Programação de Repetição por Condição,12,1
311,Trabalho Prático 03 - Estrutura Condicional Encadeada,2,2
312,Trabalho Prático 03 - Estrutura Condicional Encadeada,3,2
313,Trabalho Prático 03 - Estrutura Condicional Encadeada,3,2
314,Trabalho Prático 04: Estrutura de Repetição por Condição (while),3,2
315,Trabalho Prático 03 - Estrutura Condicional Encadeada,3,2
316,Primeira Prova Parcial,2,1
317,Exercícios de Desafio 4: Estrutura de Programação de Repetição por Condição,8,1
318,Laboratório de Codificação 04 – Estrutura de Programação de Repetição por Condição,12,1
319,Laboratório de Codificação 04 - EXTRA,8,1
320,Laboratório de Codificação 04 – Estrutura de Programação de Repetição por Condição,12,1
321,Laboratório de Codificação 04 - EXTRA,8,1
322,Laboratório de Codificação 04 – Estrutura de Programação de Repetição por Condição,12,1
323,Laboratório de Codificação 04 - EXTRA,8,1
324,Laboratório de Codificação 04 - EXTRA,8,1
325,Trabalho Prático 04: Estrutura de Repetição por Condição (while),3,2
326,Laboratório de Codificação 04 – Estrutura de Programação de Repetição por Condição,12,1
327,Laboratório de Codificação 04 - EXTRA,8,1
328,Trabalho Prático 04: Estrutura de Repetição por Condição (while),3,2
329,Décimo Oitavo Trabalho - 20/12/2016,4,1
330,Décimo Novo Trabalho - 22/12/2016,1,1
331,Exercícios sobre Storage Procedures,5,1
332,Exercicios de Funções,4,1
333,Trabalho Prático 04: Estrutura de Repetição por Condição (while),3,2
334,Trabalho Prático 04: Estrutura de Repetição por Condição (while),2,2
335,Laboratório de Codificação 05 – Vetores e Strings,11,1
336,Laboratório de Codificação 05 – Vetores e Strings,11,1
337,Vigésimo Trabalho - 03/01/2017 (binary puzzle - fácil),1,1
338,Vigésimo Primeiro Trabalho - 05/01/2017 (binary puzzle - médio),1,1
339,Vigésimo Segundo Trabalho - 10/01/2017 (binary puzzle - difícil),1,1
340,Laboratório de Codificação 05 – Vetores e Strings,11,1
341,Laboratório de Codificação 05 – Vetores e Strings,11,1
342,Laboratório de Codificação 05 – Vetores e Strings,11,1
343,Laboratório de Codificação 05 – Vetores e Strings,11,1
344,Trabalho Prático 05: Vetores e Strings,3,3
345,Vigésimo Quarto Trabalho - 17/01/2017,2,1
346,Trabalho sobre Triggers,1,1
347,Trabalho Prático 05: Vetores e Strings,3,3
348,Trabalho Prático 05: Vetores e Strings,2,3
349,Trabalho Prático 05: Vetores e Strings,3,3
350,Trabalho Prático 05: Vetores e Strings,3,3
351,Vigésimo Quinto Trabalho - 19/01/2017,1,1
352,Vigésimo Sexto Trabalho - 24/01/2017,1,1
353,Vigésimo Sétimo Trabalho - 26/01/2017,1,1
354,Vigésimo Oitavo Trabalho - 31/01/2017,1,1
355,Listas Recursivas,4,1
356,Laboratório de Codificação 06 – Estrutura de Programação de Repetição por Contagem,10,1
357,Laboratório de Codificação 06 – Estrutura de Programação de Repetição por Contagem,10,1
359,Laboratório de Codificação 06 – Estrutura de Programação de Repetição por Contagem,10,1
360,Laboratório de Codificação 06 – Estrutura de Programação de Repetição por Contagem,10,1
361,Laboratório de Codificação 06 – Estrutura de Programação de Repetição por Contagem,10,1
362,Lista de Pilhas,3,1
363,Trabalho Prático 05: Vetores e Strings,3,1
364,Trabalho Prático 06 - Estrutura de Repetição por Contagem (for),2,1
365,Trabalho Prático 06 - Estrutura de Repetição por Contagem (for),3,3
366,Trabalho Prático 06 - Estrutura de Repetição por Contagem (for),3,3
367,Trabalho Prático 06 - Estrutura de Repetição por Contagem (for),2,3
368,Trabalho Prático 06 - Estrutura de Repetição por Contagem (for),3,3
369,Trabalho Prático 06 - Estrutura de Repetição por Contagem (for),3,3
370,Laboratório de Codificação 07 – Matrizes,10,1
371,Laboratório de Codificação 07 – Matrizes,10,1
372,Laboratório de Codificação 07 – Matrizes,10,1
373,Laboratório de Codificação 07 – Matrizes,10,1
374,Laboratório de Desefios 03 – Estrutura de Programação Condicional Encadeada,9,1
375,Laboratório de Codificação 07 – Matrizes,10,1
376,Trabalho Prático 07 - Matrizes,3,3
377,Trabalho Prático 07 - Matrizes,3,1
378,Trabalho Prático 07 - Matrizes,3,3
379,Trabalho Prático 07 - Matrizes,3,3
380,Trabalho Prático 07 - Matrizes,2,3
381,Prova Final,3,1
382,Prova Final,3,0
383,Trabalho Prático 07 - Matrizes,3,3
384,Prova 2 de AED1,3,1
385,Prova Final,2,0
386,Prova Final,3,0
387,Prova Final,3,0
388,Prova Final,3,0
389,Laboratório de Codificação 0 – Primeiros passos com o Python,14,1
390,Laboratório de Codificação 0 – Primeiros passos com o Python,14,1
391,Laboratório de Codificação 0 – Primeiros passos com o Python,14,0
392,Primeiro Trabalho - 17/03/2017 - Aquecimento,3,1
393,Exercícios de Desafio 1: Variáveis e Estrutura Sequencial de Programação,1,1
394,Trabalho Prático 07 - Matrizes,2,1
395,Laboratório de Codificação 0 – Primeiros passos com o Python,14,1
396,Laboratório 0 – Primeiros passos com o Python,7,1
397,Laboratório de Codificação 0 – Primeiros passos com o Python,14,1
398,Laboratório 0 – Primeiros passos com o Python,7,1
399,Laboratório de Codificação 0 – Primeiros passos com o Python,14,1
400,Laboratório de Codificação 0 – Primeiros passos com o Python,14,0
401,Primeiro Trabalho - 14/03/2017 - Aquecimento,1,1
403,Primeira Lista de Exercícios,20,1
406,Laboratório 0 – Primeiros passos com o Python,7,1
407,Laboratório de Codificação 0 – Primeiros passos com o Python,14,1
408,Laboratório de Codificação 0 – Primeiros passos com o Python,14,1
409,Laboratório de Codificação 0 – Primeiros passos com o Python,14,1
410,Laboratório de Codificação 0 – Primeiros passos com o Python,14,1
411,Laboratório de Codificação 0 – Primeiros passos com o Python,14,1
412,Laboratório 0 – Primeiros passos com o Python,7,1
413,Laboratório de Codificação 0 – Primeiros passos com o Python,14,0
414,Segundo Trabalho - 16/03/2017 (binary puzzle - médio),2,1
415,Terceiro Trabalho - 21/03/2017 (binary puzzle - difícil),1,1
416,Laboratório 1 - Variáveis, entrada e saída de dados, estrutura sequencial,10,0
417,Laboratório 1 - Variáveis, entrada e saída de dados, estrutura sequencial,10,0
418,Laboratório 1 - Variáveis, entrada e saída de dados, estrutura sequencial,10,0
419,BANCO 1 - Variáveis e Estrutura Sequencial,40,1
420,BANCO 2 - Estrutura condicional simples e composta,29,1
421,BANCO 3 - Estrutura condicional encadeada,30,0
422,BANCO 4 - Estrutura de repetição por condição,29,0
423,BANCO 5 - Vetores (usando apenas while),25,1
424,BANCO 6 - Estrutura de repetição por contagem,27,1
425,BANCO 7 - Matrizes,10,1
426,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
427,Lab de Codificação 1 - Variáveis, Operadores aritméticos, Entrada e Saída de dados, Estrutura de programação Sequencial,3,1
428,Laboratório de Codificação 1 - Variáveis e Estrutura Sequencial de Programação,10,1
429,Exercícios de Desafio 1: Variáveis e Estrutura Sequencial de Programação,7,1
430,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
431,Laboratório 1 - Variáveis e Estrutura Sequencial de Programação,10,1
432,Exercícios de Desafio 1: Variáveis e Estrutura Sequencial de Programação,7,1
433,Exercícios de Desafio 1: Variáveis e Estrutura Sequencial de Programação,7,6
434,Exercícios de Desafio 1: Variáveis e Estrutura Sequencial de Programação,7,1
435,Trabalho Prático 1: Variáveis e Estrutura Sequencial de Programação,3,1
436,Laboratório de Codificação 01 – Variáveis e Estrutura Sequencial de Programação,12,0
437,Laboratório de Codificação 01,12,1
438,Laboratório de Codificação 01 – Variáveis e Estrutura Sequencial de Programação,12,1
439,Laboratório de Codificação 01 – Variáveis e Estrutura Sequencial de Programação,12,1
440,Laboratório de Codificação 01 – Variáveis e Estrutura Sequencial de Programação,12,1
441,Exercícios de Desafio 1: Variáveis e Estrutura Sequencial de Programação,7,1
442,Laboratório de Codificação 01 – Variáveis e Estrutura Sequencial de Programação,12,1
443,Exercícios de Desafio 1: Variáveis e Estrutura Sequencial de Programação,7,1
444,1 - Variáveis, Operadores aritméticos, Entrada e Saída de dados, Estrutura de programação Sequencial,3,1
445,Laboratório de Codificação 01 – Variáveis e Estrutura Sequencial de Programação,12,1
446,Laboratório de Codificação 01 – Variáveis e Estrutura Sequencial de Programação,12,1
447,Exercícios de Desafio 1: Variáveis e Estrutura Sequencial de Programação,7,1
448,Quinto Trabalho - 28/03/2017 (labirinto),1,1
449,Exercícios de Desafio 1: Variáveis e Estrutura Sequencial de Programação,7,0
450,Exercícios de Desafio 1: Variáveis e Estrutura Sequencial de Programação,7,1
451,Quarto Trabalho - 23/03/2017 (recursividade),10,1
452,Exercícios de Desafio 1: Variáveis e Estrutura Sequencial de Programação,7,0
453,Quinto Trabalho - 28/03/2017 (labirinto),1,1
454,Laboratório de Codificação 01 – Variáveis e Estrutura Sequencial de Programação,12,1
455,Laboratório de Codificação 01 – Variáveis e Estrutura Sequencial de Programação,12,1
456,Exercícios de Desafio 1: Variáveis e Estrutura Sequencial de Programação,7,1
457,Exercícios de Desafio 1: Variáveis e Estrutura Sequencial de Programação,7,0
458,Segundo Trabalho - 24/03/2017 (recursividade),10,1
459,Laboratório 02 - Estrutura Condicional,6,0
460,Laboratório 02 - Estrutura Condicional,6,0
461,Laboratório 02 - Estrutura Condicional,6,0
462,Segundo Trabalho (Nova Versão) - 24/03/2017 - Recursividade,10,1
463,Terceiro Trabalho - 31/03/2017 (ponteiros),8,1
464,Desafio 01,3,0
465,Trabalho Prático 01: Variáveis e Estrutura Sequencial de Programação,3,1
466,Exercícios de Desafio 1: Variáveis e Estrutura Sequencial de Programação,7,1
467,Trabalho Prático 01: Variáveis e Estrutura Sequencial de Programação,1,1
468,Trabalho Prático 01: Variáveis e Estrutura Sequencial de Programação,2,1
469,Trabalho Prático 01: Variáveis e Estrutura Sequencial de Programação,3,1
470,Laboratório 03 - Estrutura de repetição, Condicional,3,0
471,Laboratório 03 - Estrutura de repetição, Condicional,3,0
472,Laboratório 03 - Estrutura de repetição, Condicional,3,0
473,Trabalho Prático 01: Variáveis e Estrutura Sequencial de Programação,2,1
474,Trabalho Prático 01: Variáveis e Estrutura Sequencial de Programação,2,1
475,Trabalho Prático 01: Variáveis e Estrutura Sequencial de Programação,2,1
476,Trabalho Prático 01: Variáveis e Estrutura Sequencial de Programação,2,1
477,Exercícios de Desafio 2: Estruturas Condicionais Simples e Compostas,6,1
