@relation Plagio
@attribute 'logins' numeric
@attribute 'log_size' numeric
@attribute 'input' numeric
@attribute 'backspace' numeric
@attribute 'test' numeric
@attribute 'error_test' numeric
@attribute 'submition' numeric
@attribute 'error_submition' numeric
@attribute 'navegation' numeric
@attribute 'exercise_time' numeric
@attribute '%_paste' numeric
@attribute '%_alunos_acertaram' numeric
@attribute '%_atividades_corretas' numeric
@attribute 'procrastinacao' numeric
@attribute 'media_avaliacoes' numeric
@attribute 'diff_avaliacoes_listas' numeric
@attribute 'plagio' {'sim', 'nao'}
@data
225,1043,423,18,6,4,5,4,409,1524.0,0.14,0.22,0.57,183054.83,6.04,2.18,sim % 2471_4187/4187 tur:223 trab:1667
103,5,0,0,0,0,0,0,0,0.0,1.19,0.22,0.55,47887.22,8.38,1.04,sim % 2471_4367/4375 tur:224 trab:1771
164,298,131,45,0,0,1,0,26,245.0,0.09,0.36,0.66,83773.55,9.07,-1.23,nao % 2472_4469/4469 tur:225 trab:1708
155,423,205,74,2,1,2,1,18,608.0,1.19,0.3,0.54,60932.89,9.32,0.77,sim % 2495_4236/4236 tur:231 trab:1581
62,370,191,50,7,8,1,0,41,475.0,0.2,0.31,0.53,36319.05,6.33,3.23,sim % 2496_4460/4322 tur:222 trab:1621
56,244,124,71,0,0,0,0,1,416.0,2.15,0.34,0.27,1817.1,0.85,4.36,sim % 2497_4157/4348 tur:224 trab:1771
91,635,267,168,12,0,8,8,0,724.0,0.41,0.36,0.59,63948.13,8.86,-0.04,nao % 2502_2352/4153 tur:226 trab:1618
59,372,207,80,0,1,0,0,0,480.0,0.2,0.27,0.31,11601.15,8.01,-1.84,nao % 2504_4357/4357 tur:224 trab:1771
159,741,355,128,26,12,1,0,0,1136.0,0,0.38,0.48,172388.2,3.28,6.17,sim % 2505_4176/4180 tur:223 trab:1667
108,5,0,0,0,0,0,0,0,56.0,1.41,0.38,0.51,56577.15,9.94,-2.29,sim % 2505_4375/4367 tur:224 trab:1771
197,765,286,202,12,1,4,3,154,842.0,0.19,0.2,0.21,13572.07,0.3,3.09,nao % 2517_4464/4464 tur:224 trab:1771
197,1011,431,266,7,1,1,0,206,605.0,0,0.09,0.21,13572.07,0.3,3.09,nao % 2519_4044/4464 tur:224 trab:1771
158,493,241,116,10,0,0,0,0,423.0,0,0.11,0.51,45936.36,4.35,4.44,nao % 2520_2343/4233 tur:231 trab:1581
150,516,223,92,10,2,0,0,106,601.0,0.39,0.11,0.69,81472.66,8.48,-0.83,nao % 2520_4162/4162 tur:226 trab:1618
222,1971,349,80,77,5,3,2,1032,3657.0,0.38,0.25,0.86,286503.46,9.09,0.49,nao % 2521_4161/4443 tur:223 trab:1667
235,364,190,46,5,1,6,4,31,366.0,0,0.12,0.74,32618.07,2.32,7.38,nao % 2524_4123/2343 tur:220 trab:1872
150,652,223,124,18,4,1,0,15,839.0,0.35,0.27,0.69,81472.66,8.48,-0.83,nao % 2527_4033/4162 tur:226 trab:1618
96,701,257,148,24,0,6,5,25,958.0,1.3,0.27,0.71,87159.6,8.48,-0.0,nao % 2527_4044/4161 tur:226 trab:1618
61,5,0,0,0,0,0,0,0,1.0,1.41,0.15,0.23,12936.9,2.84,2.87,nao % 2542_4140/4347 tur:224 trab:1832
21,424,166,56,6,2,0,0,115,358.0,0.23,0.08,0.1,10119.53,0.08,0,nao % 2543_3465/3465 tur:225 trab:1757
222,1366,379,134,23,7,0,0,574,1928.0,0.21,0.08,0.86,286503.46,9.09,0.49,nao % 2543_4443/4443 tur:223 trab:1667
317,724,339,248,0,0,3,3,36,299.0,0,0.2,0.79,101015.03,10,-0.39,nao % 2544_4354/4044 tur:230 trab:1576
114,9,0,0,0,0,0,0,0,1.0,1.12,0.23,0.31,22171.15,0.79,5.89,sim % 2565_4208/4202 tur:231 trab:1581
176,20,0,0,0,0,1,0,0,4.0,1.22,0.28,0.38,16120.74,3.04,4.96,sim % 2566_4012/3989 tur:225 trab:1708
93,298,169,18,3,0,29,28,12,242.0,0,0.33,0.28,123662.21,2.32,2.08,nao % 2569_4194/4194 tur:223 trab:1667
70,11,0,0,1,0,0,0,0,1.0,1.69,0.23,0.4,18641.74,5.14,2.96,sim % 2571_3062/3062 tur:221 trab:1653
120,418,151,112,7,1,0,0,32,716.0,0,0.23,0.51,43979.83,5.55,5.0,nao % 2571_4213/4224 tur:231 trab:1581
57,279,191,12,1,0,0,0,34,296.0,0,0.29,0.36,19220.44,3.11,0.86,sim % 2572_3094/3094 tur:226 trab:1618
47,7,0,0,0,0,0,0,0,2.0,1.27,0.29,0.33,4603.87,2,5.44,sim % 2572_4229/3714 tur:220 trab:1597
53,18,0,0,0,0,1,0,0,58.0,1.33,0.29,0.24,2072.67,0.75,5.95,sim % 2572_4387/4387 tur:220 trab:1597
71,1032,662,122,5,0,0,0,83,720.0,0,0.32,0.44,30941.33,8.61,0.54,nao % 2573_4206/4206 tur:231 trab:1581
117,416,231,46,2,0,0,0,64,458.0,0,0.09,0.52,20219.04,4.85,2.18,nao % 2574_3985/3985 tur:225 trab:1799
127,870,338,178,13,22,0,0,160,1140.0,0.25,0.24,0.49,176028.46,2.02,5.48,nao % 2575_4174/4174 tur:223 trab:1667
225,198,101,5,5,1,0,0,33,356.0,0,0.12,0.57,183054.83,6.04,2.18,nao % 2576_4187/4187 tur:223 trab:1667
235,201,77,32,1,0,2,2,14,243.0,0.14,0.21,0.74,32618.07,2.32,7.38,nao % 2577_4161/2343 tur:220 trab:1872
161,12,0,0,0,0,1,0,0,4.0,1.62,0.21,0.78,113821.02,9.97,-0.24,nao % 2577_4431/4431 tur:224 trab:1771
91,663,327,130,4,0,0,0,105,603.0,0.33,0.05,0.62,45732.03,6.84,0.71,nao % 2578_4187/4041 tur:230 trab:1576
160,1460,450,408,8,2,7,4,287,1261.0,0.08,0.05,0.44,54362.93,2.5,2.81,nao % 2578_4229/4229 tur:231 trab:1581
222,440,192,50,3,3,0,0,124,719.0,0.01,0.07,0.86,286503.46,9.09,0.49,nao % 2579_4443/4443 tur:223 trab:1667
317,847,417,169,6,0,4,4,116,533.0,0.12,0.12,0.79,101015.03,10,-0.39,nao % 2581_3979/4044 tur:230 trab:1576
116,145,87,8,8,0,2,2,2,125.0,0.95,0.23,0.76,39285.44,9.42,-0.83,nao % 2583_4258/4258 tur:220 trab:1872
80,318,163,62,2,0,1,0,8,658.0,0,0.25,0.2,94834.28,1.02,2.81,nao % 2704_4185/4181 tur:223 trab:1667
26,411,254,40,2,0,0,0,69,356.0,0,0.24,0.13,25583.6,0.25,7.92,sim % 2711_4376/4353 tur:224 trab:1670
91,54,10,20,0,0,0,0,0,61.0,1.29,0.4,0.59,63948.13,8.86,-0.04,nao % 2723_4153/4153 tur:226 trab:1618
168,1660,473,469,29,6,9,9,127,1801.0,1.43,0.22,0.59,209223.46,9.09,-0.89,nao % 2724_4175/4175 tur:223 trab:1667
218,583,253,149,11,15,0,0,3,1191.0,0.26,0.35,0.5,81584.95,0.94,6.03,nao % 2728_4061/4061 tur:222 trab:1621
