id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
7676,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7600,10.0,10.0,2.7,10.0,0.0,10.0,0.0,9.2,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,5.12,10.0,10.0,0.0,3.3,0.0,0.0,3.3,6.7,4.16
7584,10.0,10.0,8.2,10.0,1.4,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,5.60,10.0,10.0,0.0,10.0,10.0,10.0,5.6,0.0,6.95
5148,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50
7583,10.0,10.0,0.0,10.0,1.4,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,5.09,3.3,10.0,10.0,6.7,10.0,6.7,6.7,0.0,6.68
7592,10.0,10.0,2.7,9.2,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,8.0,0.0,0.0,4.99,10.0,10.0,10.0,6.7,3.3,6.7,4.4,6.7,7.23
7748,8.8,0.0,0.0,10.0,5.7,10.0,6.3,10.0,2.2,10.0,2.5,10.0,1.7,10.0,0.0,0.0,5.45,0.0,10.0,10.0,10.0,10.0,10.0,3.3,0.0,6.66
7597,10.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7591,10.0,10.0,10.0,10.0,2.9,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,6.7,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.09
7757,10.0,0.0,0.0,5.4,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3018,10.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.8,0.0,1.7,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
6485,0.0,2.5,0.0,3.8,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.84
2412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
7590,10.0,10.0,10.0,10.0,8.6,10.0,2.5,9.2,0.0,10.0,1.3,10.0,0.0,10.0,0.0,0.0,6.35,10.0,10.0,10.0,3.3,10.0,6.7,6.7,0.0,7.09
7588,10.0,10.0,10.0,10.0,10.0,10.0,2.5,10.0,5.6,10.0,1.3,10.0,10.0,8.0,0.0,0.0,7.34,10.0,10.0,10.0,10.0,10.0,10.0,6.7,0.0,8.34
7589,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,3.3,10.0,0.0,0.0,2.71,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,3.75
6401,10.0,10.0,10.0,10.0,10.0,10.0,8.8,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,6.80,10.0,10.0,10.0,10.0,1.1,0.0,10.0,10.0,7.64
6479,10.0,10.0,10.0,10.0,10.0,6.0,0.0,7.5,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,4.59,10.0,10.0,10.0,2.2,0.0,0.0,0.0,0.0,4.03
7595,10.0,10.0,7.3,10.0,0.0,5.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,5.14,10.0,10.0,10.0,10.0,10.0,10.0,3.3,0.0,7.91
7593,10.0,10.0,0.0,10.0,0.0,9.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,4.94,0.0,0.0,3.3,3.3,3.3,6.7,3.3,7.8,3.46
